sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,delivery_time,description,enable_googlecheckout,gallery,gender,geschmacksrichtugen,gift_message_available,gross_weight,has_options,image,image_label,liters,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,model,msrp,msrp_display_actual_price_type,msrp_enabled,name,net_weight,news_from_date,news_to_date,options_container,page_layout,price,processor,ram_size,required_options,response_time,room,screensize,shape,shirt_size,shoe_size,shoe_type,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
test2-Erdbeer-Esspapier,,Cake,simple,,,base,,"2013-02-27 10:45:58",,,,,"2-3 Tage","test 2 desc",1,,,Erdbeer,,,0,,,,Esspapier,,,,,,,,"Use config","Use config",test2-Erdbeer-Esspapier,,,,"Block after Info Column",,33.0000,,,0,,,,,,,,"test 2 desc",,,,,,1,0,,,"2013-02-27 10:45:58",test2-erdbeer-esspapier,test2-erdbeer-esspapier.html,1,2.0000,77.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test2-Erdbeer-Fondant,,Cake,simple,,,base,,"2013-02-27 10:46:07",,,,,"2-3 Tage","test 2 desc",1,,,Erdbeer,,,0,,,,Fondant,,,,,,,,"Use config","Use config",test2-Erdbeer-Fondant,,,,"Block after Info Column",,33.0000,,,0,,,,,,,,"test 2 desc",,,,,,1,0,,,"2013-02-27 10:46:07",test2-erdbeer-fondant,test2-erdbeer-fondant.html,1,2.0000,77.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"test2- Schoko-Esspapier",,Cake,simple,,,base,,"2013-02-27 10:46:16",,,,,"2-3 Tage","test 2 desc",1,,," Schoko",,,0,,,,Esspapier,,,,,,,,"Use config","Use config","test2- Schoko-Esspapier",,,,"Block after Info Column",,33.0000,,,0,,,,,,,,"test 2 desc",,,,,,1,0,,,"2013-02-27 10:46:16",test2-schoko-esspapier,test2-schoko-esspapier.html,1,2.0000,77.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"test2- Schoko-Fondant",,Cake,simple,,,base,,"2013-02-27 10:46:28",,,,,"2-3 Tage","test 2 desc",1,,," Schoko",,,0,,,,Fondant,,,,,,,,"Use config","Use config","test2- Schoko-Fondant",,,,"Block after Info Column",,33.0000,,,0,,,,,,,,"test 2 desc",,,,,,1,0,,,"2013-02-27 10:46:28",test2-schoko-fondant,test2-schoko-fondant.html,1,2.0000,77.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test2-Nuss-Esspapier,,Cake,simple,,,base,,"2013-02-27 10:46:44",,,,,"2-3 Tage","test 2 desc",1,,,Nuss,,,0,,,,Esspapier,,,,,,,,"Use config","Use config",test2-Nuss-Esspapier,,,,"Block after Info Column",,33.0000,,,0,,,,,,,,"test 2 desc",,,,,,1,0,,,"2013-02-27 10:46:44",test2-nuss-esspapier,test2-nuss-esspapier.html,1,2.0000,77.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test2-Nuss-Fondant,,Cake,simple,,,base,,"2013-02-27 10:46:52",,,,,"2-3 Tage","test 2 desc",1,,,Nuss,,,0,,,,Fondant,,,,,,,,"Use config","Use config",test2-Nuss-Fondant,,,,"Block after Info Column",,33.0000,,,0,,,,,,,,"test 2 desc",,,,,,1,0,,,"2013-02-27 10:46:52",test2-nuss-fondant,test2-nuss-fondant.html,1,2.0000,77.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Strohauer's Viktoria Torte©",,Cake,configurable,"Bilder- & Fototorten","Root Catalog",base,,"2013-02-27 14:25:31",,,,,"2-3 Tage","Strohauer's Viktoria Torte©",1,,,,,230,0,no_selection,,,,,,,,,,,"Use config","Use config"," Strohauer's Viktoria Torte©",1700,,,"Block after Info Column",,26.0000,,,0,,,,,,,,"Strohauer's Viktoria Torte©",no_selection,,,,,1,0,no_selection,,"2013-07-03 10:46:52",strohauer-s-viktoria-tortec,strohauer-s-viktoria-tortec.html,4,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Kuchen & Torten","Root Catalog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Kuchen & Torten/Traditionelle Kuchen & Torten","Root Catalog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Strohauer's Viktoria Torte©-Vanielle-Esspapier",,Cake,simple,,,base,,"2013-02-27 14:26:24",,,,,"2-3 Tage","
Strohauer's Viktoria Torte©",1,,,Vanielle,,,0,,,,Esspapier,,,,,,,,"Use config","Use config"," Strohauer's Viktoria Torte©-Vanielle-Esspapier",,,,"Block after Info Column",,26.0000,,,0,,,,,,,,"
Strohauer's Viktoria Torte©",,,,,,1,0,,,"2013-02-27 14:26:24",strohauer-s-viktoria-tortec-vanielle-esspapier,strohauer-s-viktoria-tortec-vanielle-esspapier.html,1,2.0000,45.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Strohauer's Viktoria Torte©-Vanielle-Fondant",,Cake,simple,,,base,,"2013-02-27 14:26:50",,,,,"2-3 Tage","
Strohauer's Viktoria Torte©",1,,,Vanielle,,,0,,,,Fondant,,,,,,,,"Use config","Use config"," Strohauer's Viktoria Torte©-Vanielle-Fondant",,,,"Block after Info Column",,26.0000,,,0,,,,,,,,"
Strohauer's Viktoria Torte©",,,,,,1,0,,,"2013-02-27 14:26:50",strohauer-s-viktoria-tortec-vanielle-fondant,strohauer-s-viktoria-tortec-vanielle-fondant.html,1,2.0000,45.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Strohauer's Viktoria Torte©-Erdbeer-Esspapier",,Cake,simple,,,base,,"2013-02-27 14:27:08",,,,,"2-3 Tage","
Strohauer's Viktoria Torte©",1,,,Erdbeer,,,0,,,,Esspapier,,,,,,,,"Use config","Use config"," Strohauer's Viktoria Torte©-Erdbeer-Esspapier",,,,"Block after Info Column",,26.0000,,,0,,,,,,,,"
Strohauer's Viktoria Torte©",,,,,,1,0,,,"2013-02-27 14:27:08",strohauer-s-viktoria-tortec-erdbeer-esspapier,strohauer-s-viktoria-tortec-erdbeer-esspapier.html,1,2.0000,45.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Strohauer's Viktoria Torte©-Erdbeer-Fondant",,Cake,simple,,,base,,"2013-02-27 14:27:23",,,,,"2-3 Tage","
Strohauer's Viktoria Torte©",1,,,Erdbeer,,,0,,,,Fondant,,,,,,,,"Use config","Use config"," Strohauer's Viktoria Torte©-Erdbeer-Fondant",,,,"Block after Info Column",,26.0000,,,0,,,,,,,,"
Strohauer's Viktoria Torte©",,,,,,1,0,,,"2013-02-27 14:27:23",strohauer-s-viktoria-tortec-erdbeer-fondant,strohauer-s-viktoria-tortec-erdbeer-fondant.html,1,2.0000,45.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Strohauer's Viktoria Torte©- Schoko-Esspapier",,Cake,simple,,,base,,"2013-02-27 14:27:35",,,,,"2-3 Tage","
Strohauer's Viktoria Torte©",1,,," Schoko",,,0,,,,Esspapier,,,,,,,,"Use config","Use config"," Strohauer's Viktoria Torte©- Schoko-Esspapier",,,,"Block after Info Column",,26.0000,,,0,,,,,,,,"
Strohauer's Viktoria Torte©",,,,,,1,0,,,"2013-02-27 14:27:35",strohauer-s-viktoria-tortec-schoko-esspapier,strohauer-s-viktoria-tortec-schoko-esspapier.html,1,2.0000,45.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Strohauer's Viktoria Torte©- Schoko-Fondant",,Cake,simple,,,base,,"2013-02-27 14:27:46",,,,,"2-3 Tage","
Strohauer's Viktoria Torte©",1,,," Schoko",,,0,,,,Fondant,,,,,,,,"Use config","Use config"," Strohauer's Viktoria Torte©- Schoko-Fondant",,,,"Block after Info Column",,26.0000,,,0,,,,,,,,"
Strohauer's Viktoria Torte©",,,,,,1,0,,,"2013-02-27 14:27:46",strohauer-s-viktoria-tortec-schoko-fondant,strohauer-s-viktoria-tortec-schoko-fondant.html,1,2.0000,45.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Strohauer's Viktoria Torte©-Nuss-Esspapier",,Cake,simple,,,base,,"2013-02-27 14:27:59",,,,,"2-3 Tage","
Strohauer's Viktoria Torte©",1,,,Nuss,,,0,,,,Esspapier,,,,,,,,"Use config","Use config"," Strohauer's Viktoria Torte©-Nuss-Esspapier",,,,"Block after Info Column",,26.0000,,,0,,,,,,,,"
Strohauer's Viktoria Torte©",,,,,,1,0,,,"2013-02-27 14:27:59",strohauer-s-viktoria-tortec-nuss-esspapier,strohauer-s-viktoria-tortec-nuss-esspapier.html,1,2.0000,45.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Strohauer's Viktoria Torte©-Nuss-Fondant",,Cake,simple,,,base,,"2013-02-27 14:28:12",,,,,"2-3 Tage","
Strohauer's Viktoria Torte©",1,,,Nuss,,,0,,,,Fondant,,,,,,,,"Use config","Use config"," Strohauer's Viktoria Torte©-Nuss-Fondant",,,,"Block after Info Column",,26.0000,,,0,,,,,,,,"
Strohauer's Viktoria Torte©",,,,,,1,0,,,"2013-02-27 14:28:12",strohauer-s-viktoria-tortec-nuss-fondant,strohauer-s-viktoria-tortec-nuss-fondant.html,1,2.0000,45.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wochenendkuchen"" Linzertorte NEU-Vanielle-Esspapier",,Cake,simple,,,base,,"2013-02-27 14:33:49",,,,,"2-3 Tage","Wochenendkuchen"" Linzertorte NEU",1,,,Vanielle,,,0,,,,Esspapier,,,,,,,,"Use config","Use config","Wochenendkuchen"" Linzertorte NEU-Vanielle-Esspapier",,,,"Block after Info Column",,22.5000,,,0,,,,,,,,"Wochenendkuchen"" Linzertorte NEU",,,,,,1,0,,,"2013-02-27 14:33:49",wochenendkuchen-linzertorte-neu-vanielle-esspapier,wochenendkuchen-linzertorte-neu-vanielle-esspapier.html,1,20.0000,88.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wochenendkuchen"" Linzertorte NEU-Vanielle-Fondant",,Cake,simple,,,base,,"2013-02-27 14:34:00",,,,,"2-3 Tage","Wochenendkuchen"" Linzertorte NEU",1,,,Vanielle,,,0,,,,Fondant,,,,,,,,"Use config","Use config","Wochenendkuchen"" Linzertorte NEU-Vanielle-Fondant",,,,"Block after Info Column",,22.5000,,,0,,,,,,,,"Wochenendkuchen"" Linzertorte NEU",,,,,,1,0,,,"2013-02-27 14:34:00",wochenendkuchen-linzertorte-neu-vanielle-fondant,wochenendkuchen-linzertorte-neu-vanielle-fondant.html,1,20.0000,88.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wochenendkuchen"" Linzertorte NEU-Erdbeer-Esspapier",,Cake,simple,,,base,,"2013-02-27 14:37:36",,,,,"2-3 Tage","Wochenendkuchen"" Linzertorte NEU",1,,,Erdbeer,,,0,,,,Esspapier,,,,,,,,"Use config","Use config","Wochenendkuchen"" Linzertorte NEU-Erdbeer-Esspapier",,,,"Block after Info Column",,22.5000,,,0,,,,,,,,"Wochenendkuchen"" Linzertorte NEU",,,,,,1,0,,,"2013-02-27 14:37:36",wochenendkuchen-linzertorte-neu-erdbeer-esspapier,wochenendkuchen-linzertorte-neu-erdbeer-esspapier.html,1,20.0000,88.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wochenendkuchen"" Linzertorte NEU-Erdbeer-Fondant",,Cake,simple,,,base,,"2013-02-27 14:37:46",,,,,"2-3 Tage","Wochenendkuchen"" Linzertorte NEU",1,,,Erdbeer,,,0,,,,Fondant,,,,,,,,"Use config","Use config","Wochenendkuchen"" Linzertorte NEU-Erdbeer-Fondant",,,,"Block after Info Column",,22.5000,,,0,,,,,,,,"Wochenendkuchen"" Linzertorte NEU",,,,,,1,0,,,"2013-02-27 14:37:46",wochenendkuchen-linzertorte-neu-erdbeer-fondant,wochenendkuchen-linzertorte-neu-erdbeer-fondant.html,1,20.0000,88.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wochenendkuchen"" Linzertorte NEU- Schoko-Esspapier",,Cake,simple,,,base,,"2013-02-27 14:37:56",,,,,"2-3 Tage","Wochenendkuchen"" Linzertorte NEU",1,,," Schoko",,,0,,,,Esspapier,,,,,,,,"Use config","Use config","Wochenendkuchen"" Linzertorte NEU- Schoko-Esspapier",,,,"Block after Info Column",,22.5000,,,0,,,,,,,,"Wochenendkuchen"" Linzertorte NEU",,,,,,1,0,,,"2013-02-27 14:37:56",wochenendkuchen-linzertorte-neu-schoko-esspapier,wochenendkuchen-linzertorte-neu-schoko-esspapier.html,1,20.0000,88.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wochenendkuchen"" Linzertorte NEU- Schoko-Fondant",,Cake,simple,,,base,,"2013-02-27 14:38:06",,,,,"2-3 Tage","Wochenendkuchen"" Linzertorte NEU",1,,," Schoko",,,0,,,,Fondant,,,,,,,,"Use config","Use config","Wochenendkuchen"" Linzertorte NEU- Schoko-Fondant",,,,"Block after Info Column",,22.5000,,,0,,,,,,,,"Wochenendkuchen"" Linzertorte NEU",,,,,,1,0,,,"2013-02-27 14:38:06",wochenendkuchen-linzertorte-neu-schoko-fondant,wochenendkuchen-linzertorte-neu-schoko-fondant.html,1,20.0000,88.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wochenendkuchen"" Linzertorte NEU-Nuss-Esspapier",,Cake,simple,,,base,,"2013-02-27 14:38:16",,,,,"2-3 Tage","Wochenendkuchen"" Linzertorte NEU",1,,,Nuss,,,0,,,,Esspapier,,,,,,,,"Use config","Use config","Wochenendkuchen"" Linzertorte NEU-Nuss-Esspapier",,,,"Block after Info Column",,22.5000,,,0,,,,,,,,"Wochenendkuchen"" Linzertorte NEU",,,,,,1,0,,,"2013-02-27 14:38:16",wochenendkuchen-linzertorte-neu-nuss-esspapier,wochenendkuchen-linzertorte-neu-nuss-esspapier.html,1,20.0000,88.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wochenendkuchen"" Linzertorte NEU-Nuss-Fondant",,Cake,simple,,,base,,"2013-02-27 14:38:28",,,,,"2-3 Tage","Wochenendkuchen"" Linzertorte NEU",1,,,Nuss,,,0,,,,Fondant,,,,,,,,"Use config","Use config","Wochenendkuchen"" Linzertorte NEU-Nuss-Fondant",,,,"Block after Info Column",,22.5000,,,0,,,,,,,,"Wochenendkuchen"" Linzertorte NEU",,,,,,1,0,,,"2013-02-27 14:38:28",wochenendkuchen-linzertorte-neu-nuss-fondant,wochenendkuchen-linzertorte-neu-nuss-fondant.html,1,20.0000,88.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEU Gedeckter Apfelkuchen-Vanielle-Esspapier",,Cake,simple,,,base,,"2013-02-27 14:58:49",,,,,"2-3 Tage","NEU Gedeckter Apfelkuchen",1,,,Vanielle,,,0,,,,Esspapier,,,,,,,,"Use config","Use config","NEU Gedeckter Apfelkuchen-Vanielle-Esspapier",,,,"Block after Info Column",,22.5000,,,0,,,,,,,,"NEU Gedeckter Apfelkuchen",,,,,,1,0,,,"2013-02-27 14:58:49",neu-gedeckter-apfelkuchen-vanielle-esspapier,neu-gedeckter-apfelkuchen-vanielle-esspapier.html,1,80.0000,23.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
